,index,0
1282,1224,Riverside
1283,1225,Merced
1284,1226,El Dorado
1285,1227,Mendocino
1286,1228,El Dorado
1287,1229,San Benito
1288,1230,Santa Clara
1289,1231,Shasta
1290,1232,Riverside
1291,1233,Siskiyou
1292,1234,Stanislaus
1293,1235,Kern
1294,1236,Los Angeles
1295,1237,San Joaquin
1296,1238,Tehama
1297,1239,Lake
1298,1240,Madera
1299,1241,San Luis Obispo
1300,1242,San Luis Obispo
1301,1243,Santa Barbara
1302,1244,San Diego
1303,1245,San Luis Obispo
1304,1246,Lassen
1305,1247,Contra Costa
1306,1248,Madera
1307,1249,San Bernardino
1308,1250,Lassen
1309,1251,Mariposa
1310,1252,Modoc
1311,1253,San Luis Obispo
1312,1254,Shasta
1313,1255,Santa Clara
1314,1256,Lake
1315,1257,Tehama
1316,1258,Monterey
1317,1259,Alameda
1318,1260,Contra Costa
1319,1261,Marin
1320,1262,Butte
1321,1263,Riverside
1322,1264,Mariposa
1323,1265,Contra Costa
1324,1266,Butte
1325,1267,San Benito
1326,1268,Shasta
1327,1269,San Diego
1328,1270,San Luis Obispo
1329,1271,Siskiyou
1330,1272,Lake
1331,1273,Riverside
1332,1274,Mendocino
1333,1275,Riverside
1334,1276,Shasta
1335,1277,San Benito
1336,1278,Kern
1337,1279,Alameda
1338,1280,Tulare
1339,1281,Butte
1340,1282,Tehama
1341,1283,San Bernardino
1342,1284,Tulare
1343,1285,Fresno
1344,1286,Riverside
1345,1287,Lassen
1346,1288,Lake
1347,1289,Shasta
1348,1290,Santa Clara
1349,1291,Contra Costa
1350,1292,Alameda
1351,1293,Riverside
1352,1294,San Luis Obispo
1353,1295,Sacramento
1354,1296,Fresno
1355,1297,San Diego
1356,1298,Siskiyou
1357,1299,Tulare
1358,1300,Riverside
1359,1301,Contra Costa
1360,1302,San Luis Obispo
1361,1303,Lake
1362,1304,Riverside
1363,1305,Contra Costa
1364,1306,Tehama
1365,1307,Mariposa
1366,1308,Riverside
1367,1309,Contra Costa
1368,1310,Alameda
1369,1311,Santa Clara
1370,1312,Alameda
1371,1313,Riverside
1372,1314,Butte
1373,1315,Los Angeles
1374,1316,Plumas
1375,1317,San Diego
1376,1318,Riverside
1377,1319,Santa Cruz
1378,1320,Amador
1379,1321,Riverside
1380,1322,Nevada
1381,1323,Humboldt
1382,1324,Santa Clara
1383,1325,Siskiyou
1384,1326,Modoc
1385,1327,Riverside
1386,1328,Riverside
1387,1329,San Diego
1388,1330,San Luis Obispo
1389,1331,Lassen
1390,1332,Yolo
1391,1333,Shasta
1392,1334,San Diego
1393,1335,Fresno
1394,1336,Shasta
1395,1337,El Dorado
1396,1338,San Bernardino
1397,1339,Madera
1398,1340,Marin
1399,1341,San Diego
